timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1778521467.196853 0.30208132 -0.41431162 0.00361412 0.00052571 0.00245839 0.00301593
1778521467.263565 0.30208133 -0.41431162 0.00361412 0.00045442 -0.00035792 -0.00221454
1778521467.330276 0.30208134 -0.41431162 0.00361412 0.00002055 -0.00119925 -0.00093357
1778521467.396987 0.30208133 -0.41431162 0.00361412 -0.00317492 0.00145587 0.00223539
1778521467.463720 0.30208133 -0.41431161 0.00361412 0.00229665 -0.00074380 -0.00016058
1778521467.530476 0.30208133 -0.41431161 0.00361411 0.00057008 -0.00071908 -0.00209152
1778521467.597233 0.30208133 -0.41431162 0.00361411 -0.00076306 0.00193065 0.00245065
1778521467.663990 0.30208133 -0.41431162 0.00361411 -0.00001675 -0.00015132 -0.00011126
1778521467.730748 0.30208133 -0.41431162 0.00361412 0.00008288 -0.00088629 -0.00056301
1778521467.797507 0.30208133 -0.41431162 0.00361411 -0.00220716 0.00011456 0.00176573
1778521467.864267 0.30208133 -0.41431162 0.00361411 -0.00094344 0.00059309 0.00128859
1778521467.931027 0.30208133 -0.41431162 0.00361411 -0.00004279 -0.00150371 -0.00206528
1778521467.997788 0.30208133 -0.41431162 0.00361411 -0.00063458 0.00089088 0.00180837
1778521468.064550 0.30208133 -0.41431162 0.00361411 -0.00256580 -0.00011729 -0.00074917
1778521468.131313 0.30208133 -0.41431162 0.00361411 0.00296172 0.00113374 -0.00060342
1778521468.198076 0.30208133 -0.41431162 0.00361411 -0.00058135 0.00031279 0.00283333
1778521468.264840 0.30208132 -0.41431162 0.00361411 -0.00326346 0.00008548 0.00196993
1778521468.331605 0.30208132 -0.41431162 0.00361411 0.00105455 -0.00005816 -0.00408981
1778521468.398371 0.30208132 -0.41431162 0.00361411 -0.00104113 0.00183402 0.00162170
1778521468.465121 0.30208132 -0.41431162 0.00361411 -0.00176700 -0.00136645 0.00121212
1778521468.531858 0.30208132 -0.41431163 0.00361411 0.00067425 0.00046195 -0.00177784
1778521468.598595 0.30208132 -0.41431163 0.00361411 -0.00267336 0.00131898 0.00091873
1778521468.665333 0.30208132 -0.41431162 0.00361411 -0.00523220 -0.00148000 0.00149642
1778521468.732071 0.30208132 -0.41431161 0.00361411 0.00323075 0.00126522 -0.00084370
1778521468.798809 0.30208132 -0.41431162 0.00361411 -0.00172955 -0.00133611 -0.00048306
1778521468.865547 0.30208132 -0.41431161 0.00361412 0.00243961 0.00079009 0.00369157
1778521468.932286 0.30208132 -0.41431161 0.00361412 -0.00161178 0.00151859 -0.00293815
1778521468.999025 0.30208132 -0.41431160 0.00361412 0.00356862 0.00000860 0.00010193
1778521469.099134 0.30208132 -0.41431161 0.00361412 -0.00008965 -0.00006617 -0.00072287
1778521469.165874 0.30208132 -0.41431160 0.00361412 -0.00045535 -0.00036808 0.00116672
1778521469.232614 0.30208132 -0.41431160 0.00361412 -0.00196067 0.00027996 -0.00316407
1778521469.299354 0.30208132 -0.41431160 0.00361411 0.00244554 -0.00096004 0.00105805
1778521469.366094 0.30208132 -0.41431160 0.00361411 -0.00282368 0.00111632 0.00153214
1778521469.432835 0.30208132 -0.41431161 0.00361411 -0.00142021 -0.00123967 -0.00088302
1778521469.499635 0.30208132 -0.41431161 0.00361411 0.00058290 -0.00056945 -0.00130496
1778521469.566436 0.30208132 -0.41431160 0.00361411 -0.00306932 0.00147783 0.00244775
1778521469.633239 0.30208131 -0.41431160 0.00361411 -0.00088829 -0.00055392 -0.00007578
1778521469.700042 0.30208131 -0.41431160 0.00361411 0.00315572 -0.00093785 -0.00166162
1778521469.766847 0.30208131 -0.41431160 0.00361411 -0.00025791 -0.00002108 0.00293956
1778521469.833652 0.30208132 -0.41431160 0.00361411 -0.00017872 -0.00031108 0.00007908
1778521469.900459 0.30208132 -0.41431160 0.00361411 0.00010292 0.00046018 -0.00182209
1778521469.967267 0.30208132 -0.41431160 0.00361411 -0.00320777 0.00246504 0.00365372
1778521470.034076 0.30208131 -0.41431160 0.00361411 -0.00102925 0.00088290 0.00014058
1778521470.100886 0.30208132 -0.41431160 0.00361411 0.00168226 -0.00086306 -0.00041733
1778521470.167697 0.30208132 -0.41431160 0.00361411 -0.00071182 0.00113263 0.00062338
1778521470.234509 0.30208132 -0.41431160 0.00361411 -0.00236446 -0.00027773 0.00059224
1778521470.301322 0.30208132 -0.41431160 0.00361411 0.00400629 -0.00166031 -0.00139746
1778521470.368136 0.30208132 -0.41431158 0.00361410 0.00044208 0.00049698 0.00187444
1778521470.434950 0.30208132 -0.41431158 0.00361410 0.00098203 0.00204469 0.00175656
1778521470.501649 0.30208132 -0.41431157 0.00361410 0.00179253 -0.00063338 -0.00194625
1778521470.568348 0.30208132 -0.41431157 0.00361410 -0.00074193 -0.00034584 0.00196786
1778521470.635046 0.30208132 -0.41431157 0.00361410 -0.00079762 0.00096919 0.00235448
1778521470.701744 0.30208132 -0.41431157 0.00361410 0.00104409 -0.00010780 -0.00440983
1778521470.768441 0.30208132 -0.41431157 0.00361410 -0.00109628 -0.00013011 0.00182013
1778521470.835138 0.30208132 -0.41431157 0.00361410 0.00000434 0.00033035 0.00206419
1778521470.901835 0.30208132 -0.41431156 0.00361410 0.00049425 0.00059748 -0.00076921
1778521471.001881 0.30208132 -0.41431157 0.00361410 -0.00205506 -0.00025977 0.00013003
1778521471.068577 0.30208132 -0.41431157 0.00361410 0.00285367 0.00022312 -0.00080371
1778521471.135273 0.30208132 -0.41431157 0.00361410 -0.00204258 0.00161380 0.00269684
1778521471.201969 0.30208132 -0.41431156 0.00361410 0.00131689 -0.00172992 -0.00226031
1778521471.268664 0.30208133 -0.41431157 0.00361411 0.00230067 -0.00057610 -0.00122057
1778521471.335359 0.30208133 -0.41431157 0.00361411 0.00045943 0.00197394 0.00372777
1778521471.402055 0.30208133 -0.41431157 0.00361411 0.00149084 0.00085380 -0.00018838
1778521471.468752 0.30208133 -0.41431157 0.00361411 0.00036311 -0.00074877 -0.00104568
1778521471.535453 0.30208133 -0.41431157 0.00361410 -0.00131380 0.00131251 0.00293813
1778521471.602153 0.30208133 -0.41431156 0.00361410 0.00098518 -0.00048303 -0.00284675
1778521471.668853 0.30208133 -0.41431156 0.00361411 0.00044186 -0.00064736 -0.00073729
1778521471.768902 0.30208134 -0.41431156 0.00361410 0.00034183 0.00114193 0.00165329
1778521471.835601 0.30208133 -0.41431155 0.00361410 -0.00077979 0.00091881 0.00284297
1778521471.902300 0.30208133 -0.41431155 0.00361410 0.00232542 -0.00036972 -0.00097803
1778521471.968999 0.30208133 -0.41431155 0.00361410 0.00076122 -0.00036934 0.00028036
1778521472.035697 0.30208133 -0.41431155 0.00361410 0.00059785 0.00083406 0.00148369
1778521472.102396 0.30208132 -0.41431155 0.00361410 -0.00171341 0.00059844 0.00045651
1778521472.169094 0.30208133 -0.41431155 0.00361410 0.00285281 -0.00110229 -0.00155330
1778521472.235791 0.30208133 -0.41431155 0.00361409 -0.00071193 0.00164701 0.00254688
1778521472.302489 0.30208133 -0.41431155 0.00361409 -0.00017905 -0.00138055 0.00303939
1778521472.369186 0.30208133 -0.41431155 0.00361409 0.00058598 0.00128867 -0.00070349
1778521472.435883 0.30208133 -0.41431156 0.00361409 -0.00069702 0.00087263 0.00073049
1778521472.502584 0.30208132 -0.41431155 0.00361409 -0.00296462 -0.00007936 0.00216210
1778521472.569285 0.30208132 -0.41431155 0.00361409 0.00445109 0.00024882 -0.00080551
1778521472.635985 0.30208133 -0.41431155 0.00361409 0.00132832 -0.00042735 0.00160001
1778521472.702685 0.30208132 -0.41431155 0.00361409 -0.00058803 0.00074181 0.00307940
1778521472.769385 0.30208132 -0.41431155 0.00361409 0.00288806 -0.00131501 0.00041654
1778521472.836085 0.30208132 -0.41431155 0.00361409 -0.00062225 0.00112993 0.00074064
1778521472.902784 0.30208132 -0.41431155 0.00361409 -0.00042176 0.00085416 0.00062024
1778521472.969483 0.30208132 -0.41431156 0.00361409 -0.00031921 -0.00005041 -0.00268922
1778521473.036182 0.30208132 -0.41431156 0.00361409 -0.00223461 -0.00025464 0.00048829
1778521473.102881 0.30208132 -0.41431155 0.00361409 0.00122155 -0.00175649 0.00152423
1778521473.169579 0.30208132 -0.41431155 0.00361409 -0.00024225 0.00073221 -0.00248848
1778521473.236278 0.30208132 -0.41431156 0.00361409 0.00061612 -0.00009142 0.00142051
1778521473.302975 0.30208132 -0.41431156 0.00361409 -0.00124298 0.00113155 0.00170725
1778521473.369673 0.30208132 -0.41431156 0.00361409 0.00030020 -0.00136069 -0.00129056
1778521473.436371 0.30208132 -0.41431157 0.00361409 0.00066551 -0.00060488 0.00065086
1778521473.503092 0.30208132 -0.41431156 0.00361409 -0.00006323 0.00090826 0.00254336
1778521473.569812 0.30208132 -0.41431156 0.00361409 -0.00163565 -0.00054759 -0.00162044
1778521473.636532 0.30208132 -0.41431156 0.00361408 0.00210915 -0.00011025 0.00020076
1778521473.703252 0.30208132 -0.41431156 0.00361408 -0.00283644 0.00008201 0.00110149
1778521473.769972 0.30208132 -0.41431156 0.00361408 0.00028572 -0.00002982 -0.00038863
1778521473.836692 0.30208133 -0.41431156 0.00361408 -0.00020648 -0.00115406 0.00007702
1778521473.903412 0.30208133 -0.41431156 0.00361408 -0.00185749 0.00017582 0.00234296
1778521473.970132 0.30208133 -0.41431155 0.00361409 0.00095608 -0.00064892 0.00076996
1778521474.036852 0.30208133 -0.41431155 0.00361409 0.00039287 -0.00124229 -0.00249067
1778521474.103572 0.30208133 -0.41431155 0.00361409 -0.00091623 0.00121540 0.00229450
1778521474.170292 0.30208133 -0.41431155 0.00361408 0.00253327 -0.00082183 0.00072688
1778521474.237012 0.30208134 -0.41431155 0.00361408 0.00037343 -0.00180669 -0.00194008
1778521474.303732 0.30208134 -0.41431155 0.00361408 -0.00092398 0.00000529 0.00354759
1778521474.370452 0.30208134 -0.41431155 0.00361408 0.00095551 -0.00080184 0.00248563
1778521474.437172 0.30208134 -0.41431155 0.00361408 -0.00055458 -0.00129305 -0.00363618
1778521474.503881 0.30208134 -0.41431156 0.00361409 -0.00041948 0.00209963 0.00120085
1778521474.570577 0.30208134 -0.41431156 0.00361409 0.00150325 -0.00032509 0.00013483
1778521474.637272 0.30208134 -0.41431156 0.00361409 -0.00104489 -0.00165899 -0.00350572
1778521474.703968 0.30208134 -0.41431157 0.00361409 -0.00040024 -0.00039668 0.00256018
1778521474.770663 0.30208133 -0.41431156 0.00361409 -0.00230187 0.00121124 0.00038075
1778521474.837358 0.30208133 -0.41431156 0.00361408 0.00122551 -0.00121044 -0.00317516
1778521474.904052 0.30208133 -0.41431156 0.00361408 -0.00138370 -0.00045706 -0.00080226
1778521474.970747 0.30208133 -0.41431156 0.00361408 -0.00269757 -0.00070750 0.00142665
1778521475.037441 0.30208133 -0.41431156 0.00361409 0.00268168 -0.00004705 -0.00003987
1778521475.104134 0.30208133 -0.41431156 0.00361409 0.00210884 0.00039958 0.00058840
1778521475.170828 0.30208133 -0.41431156 0.00361408 -0.00241406 0.00072112 0.00055228
1778521475.237520 0.30208133 -0.41431155 0.00361408 0.00012805 -0.00157921 -0.00204524
1778521475.304213 0.30208133 -0.41431155 0.00361408 0.00331439 -0.00009702 0.00152825
1778521475.370905 0.30208133 -0.41431155 0.00361408 0.00022231 0.00151519 0.00316247
1778521475.437598 0.30208133 -0.41431155 0.00361408 -0.00040486 -0.00147908 -0.00211743
1778521475.504293 0.30208134 -0.41431155 0.00361408 0.00009356 0.00008879 -0.00175948
1778521475.570992 0.30208133 -0.41431154 0.00361408 -0.00110763 -0.00074221 0.00218774
1778521475.637689 0.30208133 -0.41431154 0.00361408 -0.00100613 0.00059243 -0.00063184
1778521475.704387 0.30208133 -0.41431154 0.00361408 0.00470935 -0.00059728 0.00041823
1778521475.771085 0.30208133 -0.41431154 0.00361408 0.00177154 0.00118633 0.00312258
1778521475.837782 0.30208133 -0.41431154 0.00361408 -0.00079549 -0.00067700 0.00138039
1778521475.904479 0.30208133 -0.41431154 0.00361408 0.00048280 -0.00102237 -0.00119277
1778521475.971176 0.30208133 -0.41431155 0.00361408 0.00006374 0.00044713 0.00221736
1778521476.037872 0.30208133 -0.41431155 0.00361408 -0.00118498 -0.00051280 -0.00041910
1778521476.104568 0.30208133 -0.41431155 0.00361409 0.00027026 -0.00020306 -0.00055406
1778521476.171264 0.30208133 -0.41431154 0.00361408 -0.00051778 0.00024038 0.00268344
1778521476.237960 0.30208133 -0.41431154 0.00361408 -0.00087037 -0.00031711 0.00175655
1778521476.304656 0.30208133 -0.41431154 0.00361408 0.00313032 0.00012583 -0.00095904
1778521476.371351 0.30208133 -0.41431154 0.00361408 -0.00262127 0.00139793 0.00243737
1778521476.438046 0.30208132 -0.41431153 0.00361409 0.00159393 -0.00119872 0.00069135
1778521476.504772 0.30208132 -0.41431152 0.00361409 0.00133935 -0.00077810 -0.00090449
1778521476.571530 0.30208132 -0.41431152 0.00361409 0.00111430 0.00014489 0.00090224
1778521476.638288 0.30208131 -0.41431152 0.00361409 -0.00255183 -0.00015406 0.00217287
1778521476.705046 0.30208132 -0.41431151 0.00361409 0.00105590 0.00025483 -0.00122055
1778521476.771805 0.30208132 -0.41431151 0.00361409 -0.00036982 -0.00016528 0.00020312
1778521476.838564 0.30208132 -0.41431151 0.00361409 -0.00271124 0.00064727 0.00168898
1778521476.905324 0.30208132 -0.41431150 0.00361408 0.00177565 -0.00171654 -0.00012965
1778521476.972085 0.30208132 -0.41431151 0.00361409 0.00018181 -0.00108482 -0.00148303
1778521477.038846 0.30208131 -0.41431150 0.00361408 -0.00181389 0.00151382 0.00112025
1778521477.105607 0.30208131 -0.41431149 0.00361408 0.00416916 -0.00196450 -0.00103773
1778521477.172369 0.30208132 -0.41431150 0.00361408 0.00025464 -0.00038472 -0.00125095
1778521477.239131 0.30208131 -0.41431150 0.00361408 -0.00579638 -0.00032537 0.00176170
1778521477.305894 0.30208132 -0.41431150 0.00361409 0.00405196 -0.00111313 -0.00093504
1778521477.372657 0.30208132 -0.41431150 0.00361409 -0.00112017 0.00074751 -0.00231457
1778521477.439421 0.30208132 -0.41431149 0.00361409 -0.00010212 0.00139096 0.00409819
1778521477.506148 0.30208132 -0.41431149 0.00361409 0.00233781 -0.00138699 -0.00035348
1778521477.572840 0.30208132 -0.41431149 0.00361408 0.00061408 0.00015575 -0.00006760
1778521477.639532 0.30208132 -0.41431149 0.00361408 -0.00266817 0.00131889 0.00055409
1778521477.706223 0.30208132 -0.41431149 0.00361408 -0.00067056 -0.00006077 -0.00062543
1778521477.772913 0.30208132 -0.41431149 0.00361408 0.00261078 -0.00044943 -0.00302050
1778521477.839603 0.30208132 -0.41431149 0.00361408 0.00077454 0.00037762 0.00344347
1778521477.906293 0.30208132 -0.41431149 0.00361408 -0.00141073 -0.00200914 0.00130477
1778521477.972982 0.30208132 -0.41431149 0.00361408 0.00053783 -0.00055611 -0.00126672
1778521478.039671 0.30208132 -0.41431149 0.00361408 -0.00412315 -0.00002963 0.00178451
1778521478.106360 0.30208132 -0.41431149 0.00361408 0.00150622 -0.00160959 0.00086102
1778521478.173048 0.30208132 -0.41431149 0.00361408 0.00237317 0.00126536 -0.00199190
